pick_id,year,round,original_team,pick_type,rules,EV,value_std,min_value,max_value,p10,p25,p50,p75,p90,expected_draft_slot,resolution_rate,owner_1,owner_2,owner_3,ownership_prob_1,ownership_prob_2,ownership_prob_3
Philadelphia_76ers_2026_2,2026,2,Philadelphia 76ers,swap,"{""type"": ""swap"", ""possible_destinations"": [""Oklahoma City Thunder"", ""Phoenix Suns"", ""Washington Wizards""], ""pool"": [""Philadelphia_76ers_2026_2"", ""Dallas_Mavericks_2026_2"", ""Oklahoma_City_Thunder_2026_2""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Oklahoma City Thunder""}, {""rank"": ""mid"", ""to"": ""Phoenix Suns""}, {""rank"": ""lf"", ""to"": ""Washington Wizards""}]}",0.045,0.0,0.045,0.045,0.045,0.045,0.045,0.045,0.045,46.0,1.0,Phoenix Suns,,,1.0,,
Orlando_Magic_2028_2,2028,2,Orlando Magic,unprotected,"{""type"": ""unprotected"", ""owner"": ""Orlando Magic""}",0.0407505,0.012362727589546943,0.015,0.09,0.025,0.03,0.04,0.05,0.055,47.7725,1.0,Orlando Magic,,,1.0,,
New_York_Knicks_2029_1,2029,1,New York Knicks,unprotected,"{""type"": ""unprotected"", ""owner"": ""Brooklyn Nets""}",0.44059149999999997,0.20134959471943134,0.155,1.0,0.215,0.27,0.4,0.5275,0.6675,11.4877,1.0,Brooklyn Nets,,,1.0,,
Philadelphia_76ers_2031_1,2031,1,Philadelphia 76ers,unprotected,"{""type"": ""unprotected"", ""owner"": ""Philadelphia 76ers""}",0.32357275,0.19007159849302288,0.1175,1.0,0.13,0.175,0.27,0.43,0.56,17.2552,1.0,Philadelphia 76ers,,,1.0,,
Sacramento_Kings_2029_1,2029,1,Sacramento Kings,unprotected,"{""type"": ""unprotected"", ""owner"": ""Sacramento Kings""}",0.5372779999999999,0.19335318205631133,0.215,1.0,0.31,0.4,0.5275,0.6025,0.775,7.6488,1.0,Sacramento Kings,,,1.0,,
Minnesota_Timberwolves_2028_2,2028,2,Minnesota Timberwolves,unprotected,"{""type"": ""unprotected"", ""owner"": ""San Antonio Spurs""}",0.023688,0.0076178710409089525,0.0125,0.0475,0.015,0.0175,0.0225,0.03,0.035,55.0315,1.0,San Antonio Spurs,,,1.0,,
Toronto_Raptors_2030_2,2030,2,Toronto Raptors,unprotected,"{""type"": ""unprotected"", ""owner"": ""Toronto Raptors""}",0.04860025,0.022119680218366505,0.0125,0.09,0.02,0.0275,0.0475,0.0675,0.08025000000000092,45.181,1.0,Toronto Raptors,,,1.0,,
Atlanta_Hawks_2030_2,2030,2,Atlanta Hawks,unprotected,"{""type"": ""unprotected"", ""owner"": ""Atlanta Hawks""}",0.04299675,0.021742122399299974,0.0125,0.09,0.0175,0.0225,0.04,0.06,0.0725,47.3537,1.0,Atlanta Hawks,,,1.0,,
Washington_Wizards_2027_1,2027,1,Washington Wizards,unprotected,"{""type"": ""unprotected"", ""owner"": ""Washington Wizards""}",0.501654,0.14754415004201676,0.33,1.0,0.4,0.43,0.4575,0.5,0.6675,8.1909,1.0,Washington Wizards,,,1.0,,
Atlanta_Hawks_2027_1,2027,1,Atlanta Hawks,unprotected,"{""type"": ""unprotected"", ""owner"": ""San Antonio Spurs""}",0.20216975,0.02386945820585385,0.1425,0.27,0.175,0.1875,0.2,0.215,0.23,22.9869,1.0,San Antonio Spurs,,,1.0,,
New_York_Knicks_2032_2,2032,2,New York Knicks,unprotected,"{""type"": ""unprotected"", ""owner"": ""New York Knicks""}",0.0475305,0.022606308284800147,0.0125,0.09,0.02,0.0275,0.045,0.0675,0.08,45.6095,1.0,New York Knicks,,,1.0,,
Sacramento_Kings_2032_2,2032,2,Sacramento Kings,unprotected,"{""type"": ""unprotected"", ""owner"": ""Sacramento Kings""}",0.047479,0.022861552310755418,0.0125,0.09,0.0175,0.0275,0.045,0.0675,0.08,45.6434,1.0,Sacramento Kings,,,1.0,,
Washington_Wizards_2030_2,2030,2,Washington Wizards,unprotected,"{""type"": ""unprotected"", ""owner"": ""Philadelphia 76ers""}",0.046872750000000005,0.02224958846487246,0.0125,0.09,0.02,0.025,0.045,0.0625,0.08,45.8621,1.0,Philadelphia 76ers,,,1.0,,
Charlotte_Hornets_2031_1,2031,1,Charlotte Hornets,unprotected,"{""type"": ""unprotected"", ""owner"": ""Charlotte Hornets""}",0.34847849999999997,0.20196734047467135,0.1175,1.0,0.1425,0.1875,0.295,0.4575,0.6025,16.1086,1.0,Charlotte Hornets,,,1.0,,
Miami_Heat_2032_1,2032,1,Miami Heat,unprotected,"{""type"": ""unprotected"", ""owner"": ""Miami Heat""}",0.360329,0.2053761937204372,0.1175,1.0,0.155,0.2,0.295,0.4775,0.6025,15.5364,1.0,Miami Heat,,,1.0,,
Charlotte_Hornets_2026_2,2026,2,Charlotte Hornets,protected,"{""type"": ""protected"", ""protection_range"": [31, 55], ""if_protected_to"": ""Sacramento Kings"", ""if_not_protected_to"": ""Detroit Pistons""}",0.072841,0.008873927747021945,0.06,0.09,0.0625,0.0675,0.07,0.08,0.0875,36.2039,1.0,Sacramento Kings,Detroit Pistons,,0.6803,0.3197,
Houston_Rockets_2027_2,2027,2,Houston Rockets,nested_swap,"{""type"": ""nested_swap"", ""possible_destinations"": [""Oklahoma City Thunder"", ""New York Knicks"", ""San Antonio Spurs"", ""Miami Heat""], ""levels"": [{""description"": ""Sub-swap (i): rank OKC, HOU, IND, MIA"", ""pool"": [""Oklahoma_City_Thunder_2027_2"", ""Houston_Rockets_2027_2"", ""Indiana_Pacers_2027_2"", ""Miami_Heat_2027_2""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Oklahoma City Thunder""}, {""rank"": ""mid1"", ""to"": ""New York Knicks""}, {""rank"": ""mid2"", ""to"": ""New York Knicks""}, {""rank"": ""lf"", ""to"": ""TEMP_I_LF""}]}, {""description"": ""SAS and (lf of the four)"", ""pool"": [""San_Antonio_Spurs_2027_2"", ""TEMP_I_LF""], ""allocation"": [{""rank"": ""mf"", ""to"": ""San Antonio Spurs""}, {""rank"": ""lf"", ""to"": ""Miami Heat""}]}]}",0.01610375,0.003146164454153231,0.0125,0.025,0.0125,0.0125,0.015,0.0175,0.02,58.5448,1.0,Houston Rockets,Oklahoma City Thunder,,0.6406,0.3594,
Memphis_Grizzlies_2031_2,2031,2,Memphis Grizzlies,nested_swap,"{""type"": ""nested_swap"", ""possible_destinations"": [""Memphis Grizzlies"", ""Indiana Pacers""], ""levels"": [{""description"": ""Sub-swap (i): MF(MIA, IND) to WAS"", ""pool"": [""Indiana_Pacers_2031_2"", ""Miami_Heat_2031_2""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Washington Wizards""}, {""rank"": ""lf"", ""to"": ""TEMP_I_LF""}]}, {""description"": ""MEM and LF(MIA, IND)"", ""pool"": [""Memphis_Grizzlies_2031_2"", ""TEMP_I_LF""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Memphis Grizzlies""}, {""rank"": ""lf"", ""to"": ""Indiana Pacers""}]}]}",0.052764750000000006,0.022186843129167834,0.0125,0.09,0.0225,0.0325,0.0525,0.0725,0.0825,43.589,1.0,Memphis Grizzlies,Indiana Pacers,,0.6223,0.3777,
Utah_Jazz_2028_2,2028,2,Utah Jazz,unprotected,"{""type"": ""unprotected"", ""owner"": ""Oklahoma City Thunder""}",0.06881024999999999,0.01268350137218448,0.04,0.09,0.0525,0.0575,0.07,0.08,0.0875,37.4931,1.0,Oklahoma City Thunder,,,1.0,,
San_Antonio_Spurs_2030_2,2030,2,San Antonio Spurs,unprotected,"{""type"": ""unprotected"", ""owner"": ""San Antonio Spurs""}",0.036414249999999995,0.019920942656740225,0.0125,0.09,0.0125,0.02,0.0325,0.05,0.0625,49.9298,1.0,San Antonio Spurs,,,1.0,,
Miami_Heat_2029_2,2029,2,Miami Heat,unprotected,"{""type"": ""unprotected"", ""owner"": ""Oklahoma City Thunder""}",0.041447000000000005,0.019385497691626976,0.0125,0.09,0.02,0.025,0.0375,0.055,0.0675,47.8339,1.0,Oklahoma City Thunder,,,1.0,,
Golden_State_Warriors_2031_2,2031,2,Golden State Warriors,swap,"{""type"": ""swap"", ""possible_destinations"": [""Minnesota Timberwolves"", ""Detroit Pistons""], ""pool"": [""Golden_State_Warriors_2031_2"", ""Minnesota_Timberwolves_2031_2""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Minnesota Timberwolves""}, {""rank"": ""lf"", ""to"": ""Detroit Pistons""}]}",0.0507815,0.0224676931943123,0.0125,0.09,0.0225,0.03,0.05,0.07,0.0825,44.355,1.0,Detroit Pistons,Minnesota Timberwolves,,0.5873,0.4127,
Memphis_Grizzlies_2026_1,2026,1,Memphis Grizzlies,nested_swap,"{""type"": ""nested_swap"", ""possible_destinations"": [""Memphis Grizzlies"", ""Charlotte Hornets""], ""levels"": [{""description"": ""WAS (if 1-8) vs PHX"", ""pool"": [{""pick"": ""Washington_Wizards_2026_1"", ""condition"": {""range"": [1, 8]}}, ""Phoenix_Suns_2026_1""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Washington Wizards""}, {""rank"": ""lf"", ""to"": ""TEMP_WAS_PHX_LF""}]}, {""description"": ""MEM, ORL, and LF(WAS/PHX)"", ""pool"": [""Memphis_Grizzlies_2026_1"", ""Orlando_Magic_2026_1"", ""TEMP_WAS_PHX_LF""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Memphis Grizzlies""}, {""rank"": ""mid"", ""to"": ""Memphis Grizzlies""}, {""rank"": ""lf"", ""to"": ""Charlotte Hornets""}]}]}",0.34016325000000003,0.06802654250721593,0.33,1.0,0.33,0.33,0.33,0.33,0.33,13.7203,1.0,Memphis Grizzlies,,,1.0,,
Houston_Rockets_2030_1,2030,1,Houston Rockets,unprotected,"{""type"": ""unprotected"", ""owner"": ""Houston Rockets""}",0.2864285,0.16812110473803032,0.1175,1.0,0.13,0.155,0.245,0.375,0.4775,19.0318,1.0,Houston Rockets,,,1.0,,
Golden_State_Warriors_2026_1,2026,1,Golden State Warriors,unprotected,"{""type"": ""unprotected"", ""owner"": ""Golden State Warriors""}",0.245,0.0,0.245,0.245,0.245,0.245,0.245,0.245,0.245,20.0,1.0,Golden State Warriors,,,1.0,,
San_Antonio_Spurs_2027_1,2027,1,San Antonio Spurs,protected,"{""type"": ""protected"", ""protection_range"": [1, 16], ""if_protected_to"": ""Sacramento Kings"", ""if_not_protected_to"": ""Oklahoma City Thunder""}",0.15475975,0.018660291412115115,0.1175,0.215,0.13,0.1425,0.155,0.165,0.175,26.8953,1.0,Oklahoma City Thunder,,,1.0,,
New_York_Knicks_2030_2,2030,2,New York Knicks,unprotected,"{""type"": ""unprotected"", ""owner"": ""Portland Trail Blazers""}",0.053980499999999994,0.02175199265971896,0.0125,0.09,0.025,0.035,0.0525,0.0725,0.0825,43.1101,1.0,Portland Trail Blazers,,,1.0,,
Minnesota_Timberwolves_2031_1,2031,1,Minnesota Timberwolves,unprotected,"{""type"": ""unprotected"", ""owner"": ""Sacramento Kings""}",0.32790775,0.19261039494627913,0.1175,1.0,0.13,0.175,0.2825,0.43,0.6025,17.0528,1.0,Sacramento Kings,,,1.0,,
Toronto_Raptors_2029_1,2029,1,Toronto Raptors,unprotected,"{""type"": ""unprotected"", ""owner"": ""Toronto Raptors""}",0.33389575,0.17831835575884364,0.1175,1.0,0.165,0.2,0.2825,0.43,0.5275,16.351,1.0,Toronto Raptors,,,1.0,,
Washington_Wizards_2032_2,2032,2,Washington Wizards,unprotected,"{""type"": ""unprotected"", ""owner"": ""Washington Wizards""}",0.048295,0.02286900793983892,0.0125,0.09,0.0175,0.0275,0.0475,0.0675,0.0825,45.3296,1.0,Washington Wizards,,,1.0,,
Philadelphia_76ers_2028_2,2028,2,Philadelphia 76ers,protection_backup,"{""type"": ""protection_backup"", ""possible_destinations"": [""Philadelphia 76ers"", ""Brooklyn Nets""], ""triggers"": [{""pick_id"": ""Philadelphia_76ers_2028_1"", ""condition"": {""range"": [1, 8]}}], ""trigger_logic"": ""ALL"", ""if_triggered_to"": ""Brooklyn Nets"", ""if_not_triggered_to"": ""Philadelphia 76ers""}",,,,,,,,,,,0.0,,,,,,
Orlando_Magic_2026_2,2026,2,Orlando Magic,swap,"{""type"": ""swap"", ""possible_destinations"": [""Orlando Magic"", ""Boston Celtics"", ""New York Knicks""], ""pool"": [""Orlando_Magic_2026_2"", ""Detroit_Pistons_2026_2"", ""Milwaukee_Bucks_2026_2""], ""allocation"": [{""rank"": ""mf"", ""to"": ""Boston Celtics""}, {""rank"": ""mid"", ""to"": ""Orlando Magic""}, {""rank"": ""lf"", ""to"": ""New York Knicks""}]}",0.025,0.0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,54.0,1.0,Orlando Magic,,,1.0,,
Sacramento_Kings_2030_2,2030,2,Sacramento Kings,unprotected,"{""type"": ""unprotected"", ""owner"": ""San Antonio Spurs""}",0.058659249999999996,0.020646897923825954,0.015,0.09,0.03,0.04,0.06,0.075,0.0875,41.3313,1.0,San Antonio Spurs,,,1.0,,
New_York_Knicks_2027_1,2027,1,New York Knicks,unprotected,"{""type"": ""unprotected"", ""owner"": ""Brooklyn Nets""}",0.25654975,0.023392490692518725,0.1875,0.33,0.23,0.245,0.2575,0.27,0.2825,19.0162,1.0,Brooklyn Nets,,,1.0,,
Atlanta_Hawks_2032_2,2032,2,Atlanta Hawks,unprotected,"{""type"": ""unprotected"", ""owner"": ""Atlanta Hawks""}",0.04784125,0.02274504687076321,0.0125,0.09,0.0175,0.0275,0.045,0.0675,0.08,45.4975,1.0,Atlanta Hawks,,,1.0,,
Orlando_Magic_2031_1,2031,1,Orlando Magic,unprotected,"{""type"": ""unprotected"", ""owner"": ""Orlando Magic""}",0.3582915,0.20425846538104092,0.1175,1.0,0.1425,0.2,0.295,0.4775,0.6025,15.6146,1.0,Orlando Magic,,,1.0,,
Sacramento_Kings_2027_1,2027,1,Sacramento Kings,unprotected,"{""type"": ""unprotected"", ""owner"": ""Sacramento Kings""}",0.6563325,0.15877753847576315,0.4575,1.0,0.5275,0.56,0.6025,0.775,1.0,4.0157,1.0,Sacramento Kings,,,1.0,,
